id,name,address,rating,review_count,lat,lon,tit1,tit2,zipcodes
jsb8JsELPWU7p-YzpXhtPQ,Subway,"1139 S Hill St  Ste Au-110  Los Angeles, CA 90015",2.5,27,34.0392769,-118.26088440000001,Sandwiches, ,90015
jsBYgXptlSR7L6yT-PWNyA,Bahay Kubo Restaurant,"2330 W Temple St  Los Angeles, CA 90026",3.5,231,34.071219899999996,-118.27163999999999,Filipino, ,90026
jSe5oStcZULmpb6eKx3wsA,Piece O' Pizza and Pasta,"11700 Venice Blvd  Los Angeles, CA 90067",3.5,175,34.008286,-118.424476,Pizza, Burgers,90067
JsebjxG9FRtCe6cb8v3yyg,Baja Fresh,"12800 Seal Beach Blvd  Seal Beach, CA 90740",3.0,60,33.77673468,-118.0720004,Mexican, Tex-Mex,90740
JSEbya4m9lsF_UuNTqAOyA,Restaurant & Pupuseria Marthita,"3424 Tweedy Blvd  South Gate, CA 90280",4.0,6,33.94446370000001,-118.2092062,American (Traditional), ,90280
jSERFisMt9Oz8Kd2kMbV7Q,Barn Busters and Sands Smokin' BBQ,"York Blvd And Hazelwood Ave  Los Angeles, CA 90041",2.5,3,34.12301794,-118.21494950000002,Barbeque, ,90041
Jshfq5WMdwQddq2z6TNUMA,Chick-fil-A,"151 E Orangethorpe Ave  Fullerton, CA 92832",4.0,421,33.859765700000004,-117.922428,Fast Food, ,92832
jsI9xAbrBIyksZnqZO3myA,Honey Baked Ham Company,"2861 Pacific Coast Hwy  Torrance, CA 90505",3.5,71,33.79504243,-118.33653419999999,Meat Shops, Delis,90505
JsqezmGb3flxZ4oaS-IhdA,Casa Escobar Wilshire,"2500 Wilshire Blvd  Santa Monica, CA 90403",3.5,292,34.03537765,-118.4781872,Bars, Mexican,90403
jsR3g1GMz-S-tOqQVmiReQ,Churros Calientes,"11521 Santa Monica Blvd  Los Angeles, CA 90025",4.0,1868,34.045551,-118.452777,Cafes, Desserts,90025
JSUHJjNr0Vi-MKIKwR_qWw,Dinner With Dres,"Los Angeles, CA 90017",5.0,10,34.04593481,-118.257828,Pop-Up Restaurants, ,90017
JSuVgZuUXAlSg36N51_k2w,Sake Dojo,"333 E 1st St  Los Angeles, CA 90012",4.0,155,34.0499753,-118.2398277,Live/Raw Food, Izakaya,90012
jsxAgG9TxxuH7r9zLgfSPg,Mariscos Villa Del Mar,"14222 Imperial Hwy  La Mirada, CA 90638",3.5,126,33.9169177,-118.0284534,Seafood, Mexican,90638
jsyauRa3LzHZ9l7LpdHgAw,District Wine,"144 Linden Ave  Long Beach, CA 90802",4.5,807,33.7690314,-118.1861812,Wine Bars, Tapas/Small Plates,90802
jSyZx8XOWCMCm8-SwXyW7Q,Jody Maroni's Mobile Kingdom,"Los Angeles, CA",4.5,2,34.053490000000004,-118.24531999999999,Food Stands, ,CA
jT0xCvs6VQ42oEr4tdKXwg,Samcheong Kitchen,"517 E Olympic Blvd  Los Angeles, CA 90015",5.0,17,34.0373,-118.25242,Korean, ,90015
Jt4-maVFfxi4l5pl6I7npw,Atomic Pizza,"1111 W Whittier Blvd  La Habra, CA 90631",4.0,200,33.939242,-117.9581926,Pizza, ,90631
JT5YNSmSBbE_KggJJ4aOlw,All India Cafe - West LA,"12113 Santa Monica Blvd  Ste 205  Los Angeles, CA 90025",4.0,513,34.0403521,-118.4638203,Indian, Vegetarian,90025
Jt8DrW8HqZ7RqUEKdWXRnA,Caricom Caribbean Cuisine,"726 N La Brea Ave  Inglewood, CA 90302",4.0,1,33.972339,-118.3573919,Restaurants, ,90302
JT8zPabkaTgMkPwMEbd6JQ,Sippin Boba and Tea,"7845 Westminster Blvd  WESTMINSTER, CA 92683",4.5,104,33.75947617,-117.992294,Bubble Tea, Coffee & Tea,92683
